Quantity,Internal P/N,Description,Customer Part No.,Manufacturer Part No.,Vendor,Vendor P/N
6,HW-C2-MECH-1821A55-A,1821A55,,1821A55,mcmaster,1821A55
13,HW-C2-MECH-6926K352-A,6926K352,,6926K352,mcmaster,6926K352
10,HW-C2-MECH-6926K56-A,6926K56,,6926K56,mcmaster,6926K56
6,HW-C2-MECH-7381K23-A,7381K23,,7381K23,mcmaster,7381K23
1,HW-C2-MECH-90128A232-A,90128A232,,90128A232,mcmaster,90128A232
1,HW-C2-MECH-90225A102-A,90225A102,,90225A102,mcmaster,90225A102
9,HW-C2-MECH-91292A108-A,91292A108,,91292A108,mcmaster,91292A108
1,HW-C2-MECH-91292A134-A,91292A134,,91292A134,mcmaster,91292A134
6,HW-C2-MECH-91458A112-A,91458A112,,91458A112,mcmaster,91458A112
1,HW-C2-MECH-91502A180-A,91502A180,,91502A180,mcmaster,91502A180
2,HW-C2-MECH-91502A183-A,91502A183,,91502A183,mcmaster,91502A183
9,HW-C2-MECH-92125A228-A,92125A228,,92125A228,mcmaster,92125A228
9,HW-C2-MECH-94180A351-A,94180A351,,94180A351,mcmaster,94180A351
11,HW-C2-MECH-94669A190-A,94669A190,,94669A190,mcmaster,94669A190
11,HW-C2-MECH-94669A196-A,94669A196,,94669A196,mcmaster,94669A196
18,HW-C2-MECH-94669A199-A,94669A199,,94669A199,mcmaster,94669A199
18,HW-C2-MECH-96738A257-A,96738A257,,96738A257,mcmaster,96738A257
2,HW-C2-MECH-98044A224-A,98044A224,,98044A224,mcmaster,98044A224
